,,,,,,,,,,0.7,0.4,0.1,,,,,,,,,60,75,90
Sum of Count of title,Column Labels,,,,,,,,,,,,,,,,,MUST = 50%,,0.6,36,45,54
Row Labels,COULD,MUST,SHOULD,WON'T,Grand Total,,,,,MUST,SHOULD,COULD,WON'T,,,,,SHOULD = 40%,,0.3,18,22.5,27
Data Sources,10,8,4,,22,,22,,,8,4,10,0,,,,,COULD = 10%,,0.1,6,7.5,9
Data Warehouse,,8,47,,55,,55,,,8,47,0,0,,,,,,,,60,75,90
Execution & Jobs,,3,4,,7,,7,,,3,4,0,0,,,,,,,,,,
General,28,2,2,,32,,32,,,2,2,28,0,,,,,MUST = 65%,,,,,
Getting Started,,14,18,1,33,,33,,,14,18,0,1,,,,,SHOULD = 25%,,,,,
ODX,2,11,1,,14,,14,,,11,1,2,0,,,,,COULD = 10%,,,,,
Semantic Model,,4,10,,14,,14,,,4,10,0,0,,,,,,,,,,
TimeXtender Portal,1,5,3,,9,,9,,,5,3,1,0,,,,,,,,,,
Grand Total,41,55,89,1,186,,,,,,,,,,,,,MUST = 55%,,,,,
,,,,,,,,,,,,,,,,,,SHOULD = 25%,,,,,
,1,2,2,,,,,,,MUST,SHOULD,COULD,WON'T,,,,,COULD = 10%,,,,,
329,41,110,178,,90,min,,Data Sources,9,6,2,1,0,,,,,,,,,,
,,,,,1.2,questions per min,,Data Warehouse,25,6,19,0,0,,,,,,,,,,
6,ssps,,,,,,,Execution & Jobs,4,2,2,0,0,,,,,,,,,,
54.83333333,,,,,75,questions,,General,5,1,1,3,0,,,,,,,,,,
,,,,,40%,of articles,,Getting Started,17,10,7,0,0,,,,,,,,,,
,,,,,,,,ODX,8,8,0,0,0,,,,,,,,,,
,,,,,,,,Semantic Model,7,3,4,0,0,,,,,M,40,45,,,
,,,,,,,,TimeXtender Portal,5,4,1,0,0,,,,,S,20,25,,,
,,,,,,,,,,,,,,,,,,C,10,10,,,
,a_must,,,,,,,,,40,36,4,0,,80,,,W,,,,,
,b_should,,,,,,,,,,,,,,,,,,,,,,
,c_could,,,,,,,,,36.4%,20.2%,9.8%,,,,,,,70,80,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,80,72,8,0,,160,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,student a,0.5,0.6,0,,,83.2,0.52,,,,,,,
,,,,,,,,,student b,0.8,0.8,0.5,,,125.6,0.785,,,,,,,
,,,,,,,,,student c,0.62,1,1,,,129.6,0.81,,,,,,,
,,,,,,,,,student d,0.9,0.8,0,,,129.6,0.81,,,,,,,
